BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
VILLIERS EN PLAINE;ST POMPAIN;Nikolay MILLER
ST JULIEN MOLIN MOLETTE;CHAUSSAN;Svetlana JENSEN
ALTHEN DES PALUDS;PERNES LES FONTAINES;Serhei KRAVCHENKO
LANING;ADELANGE;Andrea PEREZ
DRICOURT;SOMME BIONNE;Andreas PETROV
ENTRE DEUX MONTS;SUPT;Maksim HUBER
QUERCITELLO;PIETRA DI VERDE;Michel VARGA
BARATIER;CROTS;Antonio THOMAS
SOULITRE;FATINES;Andrea POPOV
CLERMONT POUYGUILLES;SEBY;Juan SOKOLOVA
LA BOLLENE VESUBIE;BENDEJUN;Brigitte SILVA
ST GERVAIS;COLOMBE;David PAVLOVA
BLOTZHEIM;LE DESCHAUX;Tatyana SCHÄFER
BOGEVE;BOEGE;Angela HUBER
SEYSSEL;CHAMPAGNE EN VALROMEY;Mária PETROV
LAURAET;ANTRAS;Olga MUÑOZ
QUINCAY;LE PECHEREAU;Klaus FERRARI
CREUZIER LE VIEUX;CHARBONNIERES LES VIEILLES;Andreas SZABÓ
DUN SUR GRANDRY;MONTSAUCHE LES SETTONS;Peter BROWN
MAIZIERES LES BRIENNE;TROUANS;Pavel ALONSO
LUSSAC;PUISSEGUIN;Lyubov VASILEVA
TAVERA;MURACCIOLE;Francisco WILSON
ALBARET LE COMTAL;BAGNOLS;Manfred NOVIKOVA
SOUSSANS;ST JULIEN BEYCHEVELLE;Anna MÜLLER
LIVET;GRAZAY;Yvan WILLIAMS
FORFRY;COCHEREL;Vasylyi THOMAS
REYREVIGNES;NADAILLAC DE ROUGE;Serhei ZIMMERMANN
MONTJOI;ALLEZ ET CAZENEUVE;Svetlana NOWAK
LAVALETTE;CONQUES SUR ORBIEL;Sandra JIMENEZ
STE CECILE;ST VINCENT STERLANGES;Werner MOROZOVA
AIGUES VIVES;ST MARTIN GIMOIS;Aleksandra GUTIERREZ
SALASC;USCLAS DU BOSC;Alexander MILLER
LA FLECHE;MAZE MILON;Nykolai JIMENEZ
VELINES;LAMOTHE MONTRAVEL;Aleksey MILLER
MOULAINVILLE;CHARNY SUR MEUSE;Francisco PETROV
BONNOEIL;BERIGNY;David BECKER
CARRIERES SOUS POISSY;L ETANG LA VILLE;Laura JOHNSON
BELGENTIER;SOLLIES VILLE;Laura MARIN
EPINONVILLE;VERY;Aleksandr SCHMIDT
ST GEOIRE EN VALDAINE;ST CHRISTOPHE;Ana SANTOS
ST CHRISTOPHE SUR ROC;CLAVE;David VOLKOVA
ST FLORET;LEOTOING;Petra RUSSO
AUTHON DU PERCHE;VILLEBON;Robert FERRARI
LES SOUHESMES RAMPONT;MAIZEY;Mario LOPEZ
PLOREC SUR ARGUENON;YVIGNAC LA TOUR;Claude SIMON
LANDES;ST HILAIRE LA PALUD;Anne JIMENEZ
MONTMEILLANT;ANTHENY;Tatyana HOFFMANN
SAIZERAIS;VILLERS EN HAYE;Giovanni JENSEN
ST AUNES;MARSEILLE;Serhei RODRIGUEZ
CHARBONNIERES LES VARENNES;ST OURS;Mikhail RICHTER
SIGONCE;MONTLAUX;Tomasz NAVARRO
AVRILLE;MOUTIERS LES MAUXFAITS;Ekaterina BONDARENKO
PONT L ABBE D ARNOULT;LA CLISSE;Eva WEBER
ROUFFIGNAC;BRAUD ET ST LOUIS;Pavel ALONSO
ST LEGER LA MONTAGNE;LE DORAT;Tatyana SCHÄFER
LE VILHAIN;PRECY;Igor SANTOS
ASSON;LESTELLE BETHARRAM;Brigitte NOVIKOVA
PEYRISSAC;BEYSSENAC;Natalya SANTOS
BRASLES;FRESNES EN TARDENOIS;Svetlana SCHMIDT
GREEZ SUR ROC;COURGENARD;Angela MARIN
GARREBOURG;ESCHWILLER;Denis FISCHER
LUSIGNY;CHATIN;Mikhail DAVIES
GOURS;STE EULALIE;Alexander SCHÄFER
BANNANS;CHAPELLE D HUIN;Mario ALVAREZ
CALLEN;LUXEY;Paul WAGNER
CUCUGNAN;MAISONS;Serhei RAMOS
CENEVIERES;CAMPAGNE;Yuliya WOLF
VOILLANS;VIETHOREY;David MARTINEZ
CHANNAY SUR LATHAN;LA RICHE;Monika BAUER
DECAZEVILLE;LESCURE JAOUL;Andrei SCHMID
CORNEILHAN;NISSAN LEZ ENSERUNE;Nadezhda SCHNEIDER
CHATENOY EN BRESSE;MALLEVAL EN VERCORS;Tatyana POPOVA
POLIGNAC;VILLENEUVE;Anton ROMERO
GILLEY;LONGEMAISON;Mária IVANOV
FLORANGE;ILLANGE;Aleksandra JOHNSON
BADEFOLS SUR DORDOGNE;ST POMPONT;Paul KUZNETSOVA
ROUMARE;HENOUVILLE;Denis SMIRNOV
ST ROMANS LES MELLE;ST PIERRE D EXIDEUIL;Anton NAGY
ST PIERRE DE JUILLERS;GIBOURNE;Giovanni VOLKOVA
CUGAND;LA COUARDE SUR MER;Anton SOKOLOVA
FENDEILLE;LAURABUC;Giuseppe MAGOMEDOV
ST SORNIN;LA GRIPPERIE ST SYMPHORIEN;Christine SMIRNOV
HASNON;HAUTS DE BIENNE;Karin JOHANSSON
CARAMAN;LANTA;Petra HERNANDEZ
AUMES;PRADELLES CABARDES;Svetlana NOVIKOVA
ST GUINOUX;LILLEMER;Tomasz FERREIRA
SALLES MONGISCARD;TILH;Tomasz NAGY
PABU;ST PEVER;Valentina HANSEN
BENESSE MAREMNE;ORX;Elena HERNANDEZ
ROCHEFORT SUR BREVON;VERTAULT;Patrick WOLF
RIOUX;VILLARS EN PONS;Andrei BECKER
BOUZY LA FORET;BEON;Klaus HUBER
BREMES;STE MARIE KERQUE;Christian SANTOS
POILCOURT SYDNEY;ST QUENTIN LE PETIT;Valentyna SCHMID
LA BOUILLE;ST PIERRE DE MANNEVILLE;Werner MOROZOVA
CAUSSADE;BOURNAZEL;Patrick JIMENEZ
NOSTANG;LANDAUL;Vera GARCIA
LE BOIS PLAGE EN RE;RIVEDOUX PLAGE;Valentyna MÜLLER
BEAUVENE;PONT DE LABEAUME;Peter PEREZ
LOISY EN BRIE;GRAUVES;Valentina VARGA
CERNON;REITHOUSE;Svetlana SOKOLOVA
ST AUNES;MONTARNAUD;Paul ROBERTS
MISSIRIAC;ST MARTIN SUR OUST;Serhei MILLER
JUAYE MONDAYE;LES AUTHIEUX SUR CALONNE;Francesco RAMOS
CHAUMOUSEY;SANCHEY;Andrey KUZNETSOVA
VOREY;SAUVESSANGES;Josef DAVIES
STE MAURE DE PEYRIAC;RUCH;Michael GARCIA
LOUVIGNE DE BAIS;ARBRISSEL;Denis POPOVA
VAUGINES;BUOUX;Monika RICHTER
ESTREES;ETRICOURT MANANCOURT;Hans SIMON
ROCHES BETTAINCOURT;GERMISAY;Michel BAUER
ECRILLE;JEURRE;Claude PEREZ
ST MAURICE NAVACELLES;ST JEAN DE BUEGES;Mariya MARIN
TAURIAC;COULONGES;Claude HERNANDEZ
TREIX;QUEMIGNY SUR SEINE;David BRAUN
VILLERS ST GENEST;TRICOT;Francesco SCHULZ
LUZENAC;ORGEIX;Manfred MILLER
LE BLANC MESNIL;ANNET SUR MARNE;Alexander EVANS
MOURIES;ST REMY DE PROVENCE;Aleksandr PETROVA
REYERSVILLER;LAMBACH;Paul COSTA
CRUGEY;TICHEY;Lyubov PETROVA
URT;BIARROTTE;Andrei WILSON
TRAITIEFONTAINE;RECOLOGNE LES RIOZ;Manfred BONDARENKO
RUFFEC;PISSOTTE;Marta NOVIKOVA
ISPOURE;ST JEAN PIED DE PORT;Michael PEREZ
CHAMOUX SUR GELON;PLANCHERINE;Marina SMIRNOV
CHAMPAGNAT;NASSIGNY;Ana JOHANSSON
RABOU;ST PONS;Maksim RODRIGUEZ
BALESTA;VILLENEUVE DE RIVIERE;Jose HUBER
LES PREMIERS SAPINS;FRANOIS;Serhei FISCHER
SARZEAU;ARZON;Francisco NAVARRO
ST DIZIER EN DIOIS;VALDOULE;Piotr JOHNSON
ST QUENTIN LES CHARDONNETS;ST PIERRE D ENTREMONT;Barbara NAVARRO
STE RADEGONDE DES NOYERS;LONGEVES;Marta SCHNEIDER
LOUVRES;MENILLES;Jean HANSEN
GAGNIERES;CAZOULS D HERAULT;Mikhail ALONSO
BAZENVILLE;ASNELLES;Elisabeth IVANOVA
ROUGEGOUTTE;FRESSE SUR MOSELLE;Antonio MILLER
COURCELLES SUR VIOSNE;ST ETIENNE DU VAUVRAY;Robert THOMAS
ST MARCEL;BLARU;Mario WILLIAMS
SEMENS;BARSAC;Giovanni BONDARENKO
FRANOIS;LA VEZE;Mária SCHMIDT
BARESIA SUR L AIN;FONTENU;Andrei BECKER
LES MATHES;MARENNES HIERS BROUAGE;Karin FERNANDEZ
DIZY;OIRY;Roman POPOV
BARCUGNAN;COUSTOUGE;Jean FERNANDEZ
OGEVILLER;FLIN;Roman FERNANDEZ
LIGNY EN BARROIS;NANTOIS;Nykolai PAVLOVA
BRY;WARGNIES LE PETIT;Giuseppe SANCHEZ
LA CHAPELLE GENESTE;ST JUST;Brigitte HERNANDEZ
ST AMAND SUR ORNAIN;VILLERS LE SEC;Sandra JOHNSON
OMEY;POGNY;Patrick JIMENEZ
GAVAUDUN;SOUCIRAC;Paul SMIRNOV
REYVROZ;SCIEZ;Jan SCHÄFER
GONFREVILLE L ORCHER;HONFLEUR;Richard MAGOMEDOV
LEME;LE SOURD;Sandra JOHANSSON
TAURIGNAN VIEUX;LORP SENTARAILLE;Giuseppe KOCH
ST AUNES;ST GEORGES D ORQUES;Marta VOLKOVA
ONLAY;ATHIE;Sergey KUZNETSOV
SAVIGNAC LEDRIER;ROSIERS DE JUILLAC;Valentyna MEYER
ROSTRENEN;PAULE;Hans ZIMMERMANN
CITOU;ST SEVER DU MOUSTIER;Elena BECKER
WIHR AU VAL;GUNSBACH;Anastasiya MEYER
LARRIVOIRE;RIX;Nadezhda ROBERTS
ALLOINAY;LEIGNES SUR FONTAINE;David BRAUN
VARIZE;CORMAINVILLE;Tatiana RAMOS
RONDEFONTAINE;REMORAY BOUJEONS;Yvan KARLSSON
CARELLES;ST SAUVEUR DES LANDES;Mario ZIMMERMANN
CHAUVE;ST MICHEL CHEF CHEF;Josef SMIRNOV
ST NIZIER SUR ARROUX;SAVILLY;Mária POPOVA
MOLAC;PLUHERLIN;Brigitte SMIRNOV
AVAILLES THOUARSAIS;ST MALO;Ivan DIAZ
ANQUETIERVILLE;ST ARNOULT;Tatiana ROBERTS
VEZELIN SUR LOIRE;MONTVERDUN;Svetlana NAGY
ORPIERRE;LE MOUTARET;Andrey PETROV
THENESOL;ALLONDAZ;Igor KARLSSON
FIAC;FLORENTIN;Lyubov FISCHER
HOCQUIGNY;FOLLIGNY;Valentyna RODRIGUEZ
ETROUSSAT;CONTIGNY;Mariya MAGOMEDOV
COMMERVEIL;GREEZ SUR ROC;Anastasiya JENSEN
PREFONTAINES;CHAPELON;Jean BONDARENKO
LOIREAUXENCE;CHAMPTOCE SUR LOIRE;Maria NOVIKOVA
OZ;LA GARDE;Karin WAGNER
VILLARD NOTRE DAME;LE BOURG D OISANS;Dmitriy MORENO
ASSIGNAN;VILLESPASSANS;Pavel SCHMIDT
CONTE;MIEGES;Ana JOHANSSON
VILLEBOIS;PORCIEU AMBLAGNIEU;Hans KLEIN
MONTREM;SERGEAC;Roman GOMEZ
MONTJOIE ST MARTIN;LE CHATELLIER;Valentina KLEIN
MARIGNY;USSEL D ALLIER;Valentina SANTOS
ST AIGNAN SUR ROE;LA ROUAUDIERE;Thomas PETROVA
SIMANDRE SUR SURAN;LE MONESTIER DU PERCY;Antonio PETROVA
VILLERS ALLERAND;MONTBRE;Anne TÓTH
NERSAC;COURCOME;Maria PETROV
ST ETIENNE DU GRES;REDESSAN;Jose FERRARI
PAUCOURT;LOUZOUER;Thomas PETROV
CUGUEN;BAZOUGES LA PEROUSE;Evgeniy NOVIKOVA
NONVILLE;MAROLLES SUR SEINE;Maria MUÑOZ
DAVREY;OUANNE;Manfred PEREIRA
ROGNES;LE PUY STE REPARADE;Aleksandr KOVALENKO
ROVON;VOLVENT;Laura SMIRNOV
FLEURY;ORNY;Aleksandr MORENO
ST MARCAN;PLEINE FOUGERES;Michel GONZALEZ
MOULIN SOUS TOUVENT;GANDELU;Robert KUZNETSOVA
ST BRIAC SUR MER;LA FRESNAIS;Giuseppe PEREIRA
TROULEY LABARTHE;LHEZ;Patrick TAYLOR
MAGNAS;FLEURANCE;Ekaterina WILSON
LES ESSARTS LE ROI;LA VERRIERE;Marta RICHTER
BREUIL LE SEC;CRAVENT;Olga SCHULZ
CHAVAGNES EN PAILLERS;ST SEBASTIEN SUR LOIRE;Wolfgang ALVAREZ
BELLOU EN HOULME;CHANU;Sergey PAVLOVA
RIBECOURT LA TOUR;GONNELIEU;Angela TAYLOR
BOLOGNE;COLMIER LE HAUT;Roman RICHTER
CARBES;JONQUIERES;Laura SIMON
ARDON;BOUGLAINVAL;Robert KOVÁCS
LE TRIADOU;MAGALAS;Sandra ZIMMERMANN
IZON;CADARSAC;Marta FERREIRA
VIC LE FESQ;CRESPIAN;Rosa IVANOV
SALIES DE BEARN;BURGARONNE;Maksim SMIRNOVA
STE MARIE;SAXI BOURDON;Karin RAMOS
ARCEY;OBERBRUCK;Maryia TÓTH
CHATEAU THEBAUD;ST LAURENT DE LA SALLE;Peter KOVÁCS
ST DONAT;ST GENES CHAMPESPE;Michel FERNANDEZ
BEYNAT;LE CHASTANG;Brigitte KOVALENKO
ST MARTIN LONGUEAU;LA NEUVILLE ROY;Christine RICHTER
LE FOURNET;TOURVILLE EN AUGE;Giuseppe RAMOS
GOUY ST ANDRE;VALINES;Elisabeth SCHMIDT
COUZOU;PAYRAC;Mariya GONZALEZ
RUMONT;BEUREY;Nykolai PAVLOVA
GENSAC LA PALLUE;BARRET;Martin RUSSO
ROGNES;LOURMARIN;Hans NAGY
ST SANTIN CANTALES;ANGLARDS DE SALERS;Valentyna GARCIA
LISSEY;HAUSSIMONT;Klaus BONDARENKO
ST PAUL LE JEUNE;LAURAC EN VIVARAIS;Claude KOVALENKO
AUTHON;ST OUEN LES VIGNES;Jan HOFFMANN
CORNEILHAN;BASSAN;Evgeniy SMIRNOVA
LOUROUX DE BOUBLE;BORD ST GEORGES;Andrey BRAUN
PLANCHERINE;ECOLE;Pavel SOKOLOVA
LIVERS CAZELLES;MARNAVES;Tomasz SCHMID
MONTFERMEIL;BOISSY ST LEGER;Nikolay POPOVA
BALLOY;BAZOCHES LES BRAY;Maryia BAUER
CASTEX;VILLEMBITS;Marta THOMAS
BARZAN;LE VERDON SUR MER;Marta HANSEN
ST MARTIN SUR LA CHAMBRE;NOTRE DAME DU CRUET;Andrey PEREIRA
OCQUEVILLE;CRASVILLE LA MALLET;Svetlana FERNANDEZ
BRUEIL EN VEXIN;CHAPET;Andrea HERNANDEZ
MORTERY;RIGNY LE FERRON;Robert POPOVA
VILLES;ANGLEFORT;John MÜLLER
GABARRET;REANS;Darya RODRIGUEZ
LE BIGNON;REZE;David MOROZOVA
ST BARNABE;PONT PEAN;Evgeniy SCHÄFER
MONTMAUR;VEYNES;Mariya GOMEZ
HAUTE RIVOIRE;MONTVERDUN;Hans JOHNSON
GANAC;CAZAUX;Marta FERNANDEZ
ISDES;ROUVRAY ST DENIS;Laura NOWAK
PEYRINS;ARTHEMONAY;Anastasiya PEREZ
ASSE LE RIBOUL;MAISONNAY;Irina KOVÁCS
VENASQUE;BAGNOLS SUR CEZE;Francisco BAUER
STE MARIE DE RE;LA FLOTTE;Claude WAGNER
MARIGNE LAILLE;LAIGNE EN BELIN;Tatyana HUBER
AIGUES VIVES;BADENS;Richard KUZNETSOV
LEVIGNACQ;ONESSE LAHARIE;Jose HUBER
CAHUZAC;VILLESEQUELANDE;Marta MOROZOVA
VIMONT;VER SUR MER;Marie FERREIRA
LESCHEROUX;VINCELLES;Daniel SMIRNOV
ASSAS;MAUGUIO;Igor BAUER
ROYAN;ST MICHEL LES PORTES;Francesco KLEIN
MONDRAINVILLE;BANVILLE;Tatiana BONDARENKO
PUIMISSON;GIGNAC;David MEYER
MORTHOMIERS;ST BAUDEL;Igor BROWN
ERAGNY SUR OISE;DROCOURT;Andrei RUSSO
CHAMPFLEURY;CHAMPIGNY SUR AUBE;Denis SOKOLOVA
MORLEY;PARNAC;Laura RICHTER
ALBUSSAC;ST MARTIN CANTALES;Evgeniy TORRES
BUISSONCOURT;EINVILLE AU JARD;Jose TÓTH
ST VINCENT JALMOUTIERS;SIGOGNE;Marta VARGA
ENTRAIGUES;LES COTES DE CORPS;Angela FERRARI
LUGAN;MONTBAZENS;Andrea NOWAK
LA CHAILLEUSE;CHENE BERNARD;Sergey MEYER
LES ROISES;CULMONT;Jan WEBER
STE GENEVIEVE;CONTEVILLE;Mária THOMAS
GRESSWILLER;NIEDERHASLACH;Maria DIAZ
LA BRUFFIERE;BOUSSAY;Karin JOHNSON
VILLE EN WOEVRE;MALANCOURT;Thomas HANSEN
PAMPLIE;FONTENILLE;Anastasiya FISCHER
LA BAUCHE;ST AUPRE;Darya MORENO
BOIS HERPIN;INTREVILLE;Daniel HUBER
BEAULIEU SUR SONNETTE;MANOT;Marta SCHNEIDER
CHAMPFROMIER;MAISOD;Mariya KOVÁCS
GENAS;STE CROIX;Werner KOCH
TERVILLE;BOULANGE;Laura MARTIN
MONASSUT AUDIRACQ;OUILLON;Brigitte NIELSEN
ST JEAN DE SIXT;LES VILLARDS SUR THONES;Petra SZABÓ
RIEDSELTZ;MOTHERN;Christine NAVARRO
ST SERNIN SUR RANCE;VILLENEUVE LES MAGUELONE;Ana HOFFMANN
ST PONS;FELINES SUR RIMANDOULE;Natalya FERRARI
ST FRANCOIS LONGCHAMP;LACHAU;David SCHULZ
OLETTE;SERDINYA;Valentina ZIMMERMANN
COLOGNE;SAIGUEDE;Svetlana NOWAK
WEYER;KESKASTEL;Antonio ROSSI
BRABANT EN ARGONNE;BEZONVAUX;Antonio MARTINEZ
TOURDUN;ANTRAS;Vladimir WOLF
SALLES SUR L HERS;LABEGE;Brigitte SCHÄFER
HUCLIER;LA THIEULOYE;Francesco SCHMIDT
FESSANVILLIERS MATTANVILLIERS;CONTILLY;Irina VARGA
CHAUGEY;FRENOIS;Vladymyr SMITH
ALEXAIN;ECUILLE;Claude RUSSO
ARVEYRES;LALANDE DE POMEROL;Sandra HERNANDEZ
ORIGNY EN THIERACHE;EFFRY;Serhei SIMON
JOUY LE CHATEL;ST OUEN EN BRIE;Klaus PETROVA
ORGELET;CHARCIER;Mária GARCIA
ST GERMAIN PRES HERMENT;ST BONNET DE CONDAT;Vladimir MARIN
GOUDELIN;LE MERZER;Vera SILVA
FARGUES;ST CRICQ VILLENEUVE;Ana HUBER
GRAND BRASSAC;MARSAC SUR L ISLE;Valentyna MEYER
LIESSIES;WILLIES;Michel FERRARI
TERROLES;MONTBEL;Oksana RODRIGUEZ
CAIXAS;MONTAURIOL;Werner TÓTH
BARRET;VIX;Aleksey LOPEZ
BELHOMERT GUEHOUVILLE;FONTAINE SIMON;Michel NOWAK
EROME;ST BARTHELEMY DE VALS;Alina JONES
JETTERSWILLER;ZEHNACKER;Marina SMIRNOV
MANOM;STUCKANGE;Lyubov WAGNER
HERIN;ROUVIGNIES;Mikhail KOVALENKO
LUSIGNY SUR OUCHE;BLANCEY;Michael RUSSO
MEILLERS;BEAULIEU;Claude RUIZ
ST LOUP;BERNAY ST MARTIN;Maria SCHNEIDER
LE PASSAGE;ST SULPICE DES RIVOIRES;Ivan DIAZ
LA NEUVILLE HOUSSET;ROUVROY SUR SERRE;Michel FERRARI
BRETEUIL;GAUDREVILLE LA RIVIERE;Ekaterina KUZNETSOV
MAZERES;CESSALES;Michel KARLSSON
SAVERES;LAVELANET DE COMMINGES;Olga ANDERSSON
BEZIERS;ALIGNAN DU VENT;Anton SILVA
DANNE ET QUATRE VENTS;FURDENHEIM;David ROSSI
ST GAND;ETRELLES ET LA MONTBLEUSE;Tomasz VASILEVA
LA PEYRATTE;AUGE;Manfred FERREIRA
ARNAC SUR DOURDOU;CADIX;Vera PETROVA
SAVIGNY EN VERON;ETRICHE;Valentina VARGA
ST GOUSSAUD;JANAILLAT;Jan MILLER
SAULZOIR;BOHAIN EN VERMANDOIS;Peter MARTIN
BEAUVOIR;CAROLLES;Josef KLEIN
MONTEREAU FAULT YONNE;LA GRANDE PAROISSE;Marta SCHMIDT
REIGNIER ESERY;NANGY;Josef PETROV
ST VINCENT SUR JABRON;CUREL;Serhei ALVAREZ
GIRMONT VAL D AJOL;GORHEY;Valentina KUZNETSOV
MONGAUSY;SEYSSES SAVES;Juan NOWAK
PEYROLLES EN PROVENCE;LA FARE LES OLIVIERS;Mikhail POPOV
LUYNES;MONTIGNE LES RAIRIES;Ivan SMIRNOVA
BERRIAC;LASTOURS;Elisabeth MOROZOVA
OUVEILLAN;MONTELS;Peter KARLSSON
SETE;TOURBES;Serhei KUZNETSOVA
LAMARCHE SUR SAONE;SORNAY;Valentina DIAZ
ILE D AIX;LA BREE LES BAINS;Andrea ZIMMERMANN
CAZALS;BOURNIQUEL;Rosa ROBERTS
LA FERRIERE BOCHARD;GANDELAIN;Richard MARTIN
ROQUELAURE;FONGRAVE;Mikhail SIMON
ARVERT;LE GRAND VILLAGE PLAGE;David RUSSO
WARNECOURT;NAMPCELLES LA COUR;Andrei MORENO
BAILLEAU LE PIN;ROUVRAY ST DENIS;Svetlana SIMON
LE MAS D AGENAIS;GABARRET;Dmitriy MUÑOZ
BUCEY LES GY;VELLECLAIRE;Petra RUIZ
LA BATIE NEUVE;VALLOUISE PELVOUX;Christine TAYLOR
NANTIAT;BLOND;Nadezhda TORRES
LOC ENVEL;BELLE ISLE EN TERRE;Vladymyr SANCHEZ
BULHON;DYO;Olha IVANOV
ST VICTOUR;BORT LES ORGUES;Antonio MARIN
MERENS LES VALS;PORTE PUYMORENS;Tatyana SMIRNOV
MOISSAC VALLEE FRANCAISE;SUMENE;Christian HANSEN
ANTHY SUR LEMAN;YVOIRE;Paul BAUER
LE NOYER;BASSENS;Paul COSTA
PROVENCY;ISLAND;Michel FERRARI
LA CHAPELLE ST GERAUD;ST GERMAIN LES VERGNES;Jean POPOV
DIESEN;BORCE;Patrick MEIER
VERNUSSE;SAZERET;Barbara NIELSEN
MAGNY LES HAMEAUX;MONTIGNY LE BRETONNEUX;Maryia KOVÁCS
BULAT PESTIVIEN;MAEL PESTIVIEN;Claude MARTINEZ
PRAYSSAS;LACEPEDE;Lyubov TAYLOR
TERNAT;PRUSLY SUR OURCE;Antonio MEYER
BLESLE;LA FAGE ST JULIEN;Yvan MARIN
LA POMAREDE;LA BASTIDE;Igor FERRARI
ST CREPIN;TONNAY BOUTONNE;Werner SCHMID
MONTEMBOEUF;ABJAT SUR BANDIAT;Jose HUBER
CLUSSAIS LA POMMERAIE;LUXE;Paul HERNANDEZ
OBERLAUTERBACH;SCHLEITHAL;Valentina MARIN
CELSOY;BREUCHOTTE;Oksana JOHANSSON
ST GERMAIN DES PRES;PUECHOURSI;Aleksandr NIELSEN
GRABELS;ST CLEMENT DE RIVIERE;Tomasz SOKOLOVA
ST CANNAT;ROGNES;Thomas MORENO
JAULNAY;CHEISSOUX;Peter HUBER
VALENCIN;HEYRIEUX;Peter POPOV
LA TOUCHE;ST GERVAIS SUR ROUBION;Denis MEIER
VENAREY LES LAUMES;NOGENT LES MONTBARD;Elena NAGY
SAULCE SUR RHONE;AMBONIL;Wolfgang SMITH
MEYNES;SERNHAC;Anna HUBER
MUHLBACH SUR MUNSTER;MENOUX;Marina PETROV
THIVILLE;LA CHAPELLE ENCHERIE;Eva VASILEVA
VITRAC ST VINCENT;MONTBRON;Claude DAVIES
BEAUVEZER;CASTELLANE;Ivan PETROVA
VIEUZOS;BURG;Igor KOVALENKO
VILLIERS ST ORIEN;ST CHRISTOPHE;Anastasiya DAVIES
ATTIGNAT;ST JEAN DE MINERVOIS;Sandra GUTIERREZ
GRADIGNAN;MIOS;Anne THOMAS
GIGNAC;NADAILLAC DE ROUGE;Piotr KOCH
NAVES;SAVIGNY SOUS MALAIN;Vera TAYLOR
PLEVENON;ST MAUR DES BOIS;Werner RAMOS
GENISSAC;ARVEYRES;Klaus HANSEN
AURONS;FLASSAN;Svetlana SOKOLOVA
CIRAL;ROUPERROUX;Maryia FERREIRA
THIEBLEMONT FAREMONT;VASSIMONT ET CHAPELAINE;Christine DAVIES
STEINBRUNN LE BAS;MORSCHWILLER LE BAS;Monika JOHANSSON
ST GERVAIS LES TROIS CLOCHERS;ORCHES;Marta PEREIRA
ANGLARDS DE SALERS;NONARDS;Jose BONDARENKO
MAISON PONTHIEU;BEAUQUESNE;Serhei POPOVA
LA CHEVALLERAIS;PETIT MARS;Pavel POPOV
NEUHAEUSEL;MARSEILLE;Dmitriy ROSSI
SARRY;CHERVILLE;Monika MÜLLER
MONTIGNARGUES;ST BAUZELY;Patrick THOMAS
MONBAZILLAC;MESTERRIEUX;Andrey SMIRNOV
MARTHON;LA CROIX SUR GARTEMPE;Mariya KOVÁCS
CHALMAISON;SALINS;Dmitriy MARTINEZ
SIX FOURS LES PLAGES;SANARY SUR MER;Alina KLEIN
MANDRES SUR VAIR;ARRENTIERES;Pavel KLEIN
ST CYR;ST MAURICE LES BROUSSES;David TÓTH
ST VIGOR LE GRAND;SOMMERVIEU;Sandra RAMOS
CAMPENEAC;NEANT SUR YVEL;Vera WILSON
ST LOUP;FOULAYRONNES;Aleksandra MEYER
POUILLENAY;BRAIN;Elena PETROVA
GERMIGNY;ROSNAY;Daniel MEIER
NEZIGNAN L EVEQUE;VALROS;Claude SCHULZ
GAGNAC SUR GARONNE;AURADE;Anton RICHTER
BREVONNES;NONCOURT SUR LE RONGEANT;Klaus POPOVA
LA SELLE GUERCHAISE;JANS;Mario KRAVCHENKO
MESBRECOURT RICHECOURT;SURFONTAINE;Sandra SMIRNOV
BREE;CHARCHIGNE;Anne JIMENEZ
VALLIERES SUR FIER;ST MARTIN DE BAVEL;Tatyana MILLER
BELGENTIER;CUGES LES PINS;Marie NOVIKOVA
VINZELLES;PLOTTES;Vera SANCHEZ
RODELLE;ARVIEU;Anastasiya ROSSI
TOURNOUS DEVANT;GER;Hans SCHMIDT
LA CHAVANNE;PLANAISE;Vladymyr BAUER
TRELAZE;BLAISON ST SULPICE;Marta SCHMIDT
LE PECHEREAU;MAILLET;Yvan PETROVA
ARQUEVES;QUESNOY SUR AIRAINES;Anastasiya MEYER
ETAULES;SAUJON;Natalya KOCH
BOURDEAUX;COMPS;Sergey MARIN
DEMI QUARTIER;COMBLOUX;Elena PEREZ
HERICOURT EN CAUX;BLONVILLE SUR MER;Vera DIAZ
ST FELIU D AMONT;CASSAGNES;Maria THOMAS
VERGEZE;AIGUES VIVES;Mária KUZNETSOV
DAVREY;CHESLEY;Manfred JONES
ST REMY DE SILLE;TREMEHEUC;Vladimir FERREIRA
REININGUE;LIEBSDORF;Lyubov SZABÓ
MARANS;ANDILLY;Peter ZIMMERMANN
ST LAURENT DE TERREGATTE;VERNIX;Maria BECKER
NEFFIES;AIGUES VIVES;Mariya PAVLOVA
NEUVY SAUTOUR;GERMIGNY;Mária BONDARENKO
OSSELLE ROUTELLE;SERRE LES SAPINS;Vladimir SMITH
VERAZA;ALAIGNE;Irina FERREIRA
ROGUES;LE POUGET;Irina FERNANDEZ
CONTREGLISE;AISEY ET RICHECOURT;Christine PEREZ
TANNOIS;GIVRAUVAL;Martin FERRARI
MENOTEY;PEINTRE;Vasylyi SCHMIDT
ST MAMET LA SALVETAT;LABASTIDE DU HAUT MONT;Andrei IVANOVA
ST GERMAIN D ARCE;LA ROUVIERE;Rosa COSTA
FAYET;SYLVANES;Petra VOLKOVA
